qid,absid
http://www.wikidata.org/entity/Q97985951,100456
http://www.wikidata.org/entity/Q97986521,100549
http://www.wikidata.org/entity/Q97984937,100599
http://www.wikidata.org/entity/Q97987533,100661
http://www.wikidata.org/entity/Q97988613,100668
http://www.wikidata.org/entity/Q97983214,100675
http://www.wikidata.org/entity/Q97985132,100710
http://www.wikidata.org/entity/Q97983363,100735
http://www.wikidata.org/entity/Q97986913,100920
http://www.wikidata.org/entity/Q97985930,101361
http://www.wikidata.org/entity/Q97984841,101503
http://www.wikidata.org/entity/Q97987464,101533
http://www.wikidata.org/entity/Q97987122,101649
http://www.wikidata.org/entity/Q97984224,101681
http://www.wikidata.org/entity/Q97983281,101799
http://www.wikidata.org/entity/Q97985214,112096
http://www.wikidata.org/entity/Q97987561,131967
http://www.wikidata.org/entity/Q97985539,152164
http://www.wikidata.org/entity/Q97986604,152971
http://www.wikidata.org/entity/Q97984898,182674
http://www.wikidata.org/entity/Q97988083,99060
http://www.wikidata.org/entity/Q97987353,99099
http://www.wikidata.org/entity/Q97985708,99135
http://www.wikidata.org/entity/Q97988178,99188
http://www.wikidata.org/entity/Q97984186,99256
http://www.wikidata.org/entity/Q97987566,99258
http://www.wikidata.org/entity/Q97983783,99260
http://www.wikidata.org/entity/Q97983489,99299
http://www.wikidata.org/entity/Q97986958,99310
http://www.wikidata.org/entity/Q97983587,99314
http://www.wikidata.org/entity/Q97984423,99347
http://www.wikidata.org/entity/Q97983400,99508
http://www.wikidata.org/entity/Q97988027,99625
http://www.wikidata.org/entity/Q97983795,99772
http://www.wikidata.org/entity/Q97985552,99994
http://www.wikidata.org/entity/Q97985201,100015
http://www.wikidata.org/entity/Q97988217,100041
http://www.wikidata.org/entity/Q97987088,100084
http://www.wikidata.org/entity/Q97986738,100143
http://www.wikidata.org/entity/Q97983288,100163
http://www.wikidata.org/entity/Q97985629,100180
http://www.wikidata.org/entity/Q97987377,100199
http://www.wikidata.org/entity/Q97985355,100232
http://www.wikidata.org/entity/Q97985652,100339
http://www.wikidata.org/entity/Q97985298,100459
http://www.wikidata.org/entity/Q97988023,100479
http://www.wikidata.org/entity/Q97987102,100539
http://www.wikidata.org/entity/Q97985159,100579
http://www.wikidata.org/entity/Q97987357,100789
http://www.wikidata.org/entity/Q97987436,100800
http://www.wikidata.org/entity/Q97984111,100986
http://www.wikidata.org/entity/Q97988445,101111
http://www.wikidata.org/entity/Q97987906,101269
http://www.wikidata.org/entity/Q97986679,101275
http://www.wikidata.org/entity/Q97988161,101345
http://www.wikidata.org/entity/Q97986350,101502
http://www.wikidata.org/entity/Q97987757,101517
http://www.wikidata.org/entity/Q97985643,101584
http://www.wikidata.org/entity/Q97987129,101774
http://www.wikidata.org/entity/Q97985654,113003
http://www.wikidata.org/entity/Q97988263,152965
http://www.wikidata.org/entity/Q97986407,99041
http://www.wikidata.org/entity/Q97986752,99133
http://www.wikidata.org/entity/Q97984644,99441
http://www.wikidata.org/entity/Q97988489,99637
http://www.wikidata.org/entity/Q97986335,99751
http://www.wikidata.org/entity/Q97987072,99786
http://www.wikidata.org/entity/Q97987691,99837
http://www.wikidata.org/entity/Q97984992,99871
http://www.wikidata.org/entity/Q97983937,100253
http://www.wikidata.org/entity/Q97986345,100302
http://www.wikidata.org/entity/Q97984116,100451
http://www.wikidata.org/entity/Q97988496,100792
http://www.wikidata.org/entity/Q97984762,100797
http://www.wikidata.org/entity/Q97986657,100806
http://www.wikidata.org/entity/Q97984656,100887
http://www.wikidata.org/entity/Q97986831,100954
http://www.wikidata.org/entity/Q97987020,101131
http://www.wikidata.org/entity/Q97984500,101191
http://www.wikidata.org/entity/Q97983760,101271
http://www.wikidata.org/entity/Q97983807,101278
http://www.wikidata.org/entity/Q97987950,101434
http://www.wikidata.org/entity/Q97986505,101485
http://www.wikidata.org/entity/Q97983968,101539
http://www.wikidata.org/entity/Q97988055,101702
