Year,Order_Num,Yard_Num,Vessel_Type,Propulsion,Vessel_Name,Builder,SBS_link
1904,109946,380,Tug,Screw Steamer,ROSE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51739&vessel=ROSE
1904,118155,383,Fishing,Screw Steamer,CENTURION,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51742&vessel=CENTURION
1904,118190,385,Fishing,Screw Steamer,CETONIA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51744&vessel=CETONIA+
1905,118193,386,Fishing,Screw Steamer,TERRIER,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51745&vessel=TERRIER
1905,118159,388,Fishing,Screw Steamer,CHAMBERLAIN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51747&vessel=CHAMBERLAIN
1905,118194,390,Fishing,Screw Steamer,STRATHAIRLIE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51749&vessel=STRATHAIRLIE
1905,118196,392,Fishing,Screw Steamer,STRATHYRE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51751&vessel=STRATHYRE
1906,118198,394,Fishing,Screw Steamer,STRATHORD,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51753&vessel=STRATHORD
1906,118200,396,Fishing,Screw Steamer,STRATHFILLAN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51755&vessel=STRATHFILLAN
1906,109728,398,Fishing,Screw Steamer,ADVENTURE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51757&vessel=ADVENTURE
1906,123353,401,Fishing,Screw Steamer,W. WETHERLY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51760&vessel=W.+WETHERLY
1906,123357,403,Fishing,Screw Steamer,NORTH KING,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51762&vessel=NORTH+KING
1906,123360,405,Fishing,Screw Steamer,STRATHBEG,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51764&vessel=STRATHBEG
1906,122981,407,Fishing,Screw Steamer,COMRADE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51766&vessel=COMRADE
1906,122983,409,Fishing,Screw Steamer,CALEDONIA,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51768&vessel=CALEDONIA
1906,123363,411,Fishing,Screw Steamer,STRATHGARRY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51770&vessel=STRATHGARRY
1906,145005,413,Fishing,Screw Steamer,KER-NEVEL,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51772&vessel=KER-NEVEL
1906,123373,415,Fishing,Screw Steamer,STRATHERRICK,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51774&vessel=STRATHERRICK
1906,,399,,,Not built,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51758&vessel=Not+built
1907,123376,418,Fishing,Screw Steamer,ROSSKEEN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51777&vessel=ROSSKEEN
1907,119615,420,Fishing,Screw Steamer,EXPERT,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51779&vessel=EXPERT
1907,119616,422,Fishing,Screw Steamer,GUIDE ME II,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51781&vessel=GUIDE+ME+II
1907,119618,424,Fishing,Screw Steamer,ROSEBUD,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51783&vessel=ROSEBUD
1907,,426,Fishing,Screw Steamer,DOS,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51785&vessel=DOS
1907,114289,428,Fishing,Screw Steamer,PITULLIE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51787&vessel=PITULLIE
1907,125918,430,Fishing,Screw Steamer,INDUSTRY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51789&vessel=INDUSTRY
1907,123386,432,Fishing,Screw Steamer,DREADNOUGHT,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51791&vessel=DREADNOUGHT
1907,123388,434,Fishing,Screw Steamer,MARY WETHERLY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51793&vessel=MARY+WETHERLY
1907,127131,436,Fishing,Screw Steamer,LOCH DOON,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51795&vessel=LOCH+DOON
1907,125833,438,Fishing,Screw Steamer,KIMBERLEY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51797&vessel=KIMBERLEY
1907,127134,440,Fishing,Screw Steamer,NORTH STAR,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51799&vessel=NORTH+STAR
1907,127136,442,Fishing,Screw Steamer,VALE OF LEVEN,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51801&vessel=VALE+OF+LEVEN
1908,127142,444,Fishing,Screw Steamer,STRATHLUI,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51803&vessel=STRATHLUI
1908,127143,446,Fishing,Screw Steamer,VALE OF CLYDE,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51805&vessel=VALE+OF+CLYDE
1908,,450,Fishing,Screw Steamer,CUATRO,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51809&vessel=CUATRO
1908,127154,452,Fishing,Screw Steamer,JESSIE WETHERLY,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51811&vessel=JESSIE+WETHERLY
1908,125951,454,Fishing,Screw Steamer,STAR OF BETHLEHEM,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51813&vessel=STAR+OF+BETHLEHEM
1908,127157,456,Fishing,Screw Steamer,LOCH ESK,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51815&vessel=LOCH+ESK
1908,,458,Fishing,Screw Steamer,KER-YADO,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51817&vessel=KER-YADO
1909,,460,Fishing,Screw Steamer,CINCO,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51819&vessel=CINCO
1909,127161,462,Fishing,Screw Steamer,VALE OF LENNOX,"Hall, Russell & Co Ltd",view.php?a1Page=1&a1PageSize=820&builder=2022&ref=51821&vessel=VALE+OF+LENNOX
